# Data for the following site(s) are contained in this file:,
#,
"#	SNOTEL 1226: Thistle Flat", UT
"#	SNOTEL 1097: Timberline", UT
"#	SNOTEL 820: Timpanogos Divide", UT
"#	SNOTEL 823: Tony Grove Lake", UT
"#	SNOTEL 1113: Tony Grove RS", UT
"#	SNOTEL 828: Trial Lake", UT
"#	SNOTEL 833: Trout Creek", UT
"#	SNOTEL 1227: Upper Joes Valley", UT
"#	SNOTEL 1098: Usu Doc Daniel", UT
"#	SNOTEL 844: Vernon Creek", UT
"#	SNOTEL 853: Webster Flat", UT
"#	SNOTEL 864: White River #1", UT
"#	SNOTEL 865: Widtsoe #3", UT
"#	SNOTEL 1228: Wrigley Creek", UT
"#	SNOTEL 1197: Yankee Reservoir", UT
