,Data sites,Longitude,Latitude,Site ID
67,#	SNOTEL 1115: Klondike Narrows	 UT,111.6,41.96666666666667,1115
68,#	SNOTEL 561: Kolob	 UT,113.05,37.53333333333333,561
69,#	SNOTEL 566: Lakefork #1	 UT,110.43333333333334,40.6,566
70,#	SNOTEL 1116: Lakefork #3	 UT,110.35,40.55,1116
71,#	SNOTEL 513: Lakefork Basin	 UT,110.61666666666666,40.733333333333334,513
72,#	SNOTEL 572: Lasal Mountain	 UT,109.26666666666667,38.483333333333334,572
73,#	SNOTEL 1215: Lasal Mountain-Lower	 UT,109.28333333333333,38.483333333333334,1215
74,#	SNOTEL 1056: Lightning Ridge	 UT,111.48333333333333,41.36666666666667,1056
75,#	SNOTEL 579: Lily Lake	 UT,110.8,40.86666666666667,579
76,#	SNOTEL 582: Little Bear	 UT,111.83333333333333,41.4,582
77,#	SNOTEL 583: Little Grassy	 UT,113.85,37.483333333333334,583
78,#	SNOTEL 1261: Lonesome Beaver	 UT,110.76666666666667,38.06666666666667,1261
79,#	SNOTEL 592: Long Flat	 UT,113.4,37.516666666666666,592
80,#	SNOTEL 593: Long Valley Jct	 UT,112.51666666666667,37.483333333333334,593
81,#	SNOTEL 596: Lookout Peak	 UT,111.71666666666667,40.833333333333336,596
82,#	SNOTEL 1118: Lost Creek Resv	 UT,111.36666666666666,41.21666666666667,1118
83,#	SNOTEL 972: Louis Meadow	 UT,111.76666666666667,40.833333333333336,972
84,#	SNOTEL 612: Mammoth-Cottonwood	 UT,111.31666666666666,39.68333333333333,612
85,#	SNOTEL 621: Merchant Valley	 UT,112.43333333333334,38.3,621
86,#	SNOTEL 626: Midway Valley	 UT,112.83333333333333,37.56666666666667,626
87,#	SNOTEL 628: Mill-D North	 UT,111.63333333333334,40.666666666666664,628
88,#	SNOTEL 631: Mining Fork	 UT,112.61666666666666,40.5,631
89,#	SNOTEL 634: Monte Cristo	 UT,111.5,41.46666666666667,634
90,#	SNOTEL 643: Mosby Mtn.	 UT,109.88333333333334,40.6,643
91,#	SNOTEL 1224: Mt Baldy	 UT,111.5,39.13333333333333,1224
92,#	SNOTEL 1269: Mt Pennell	 UT,110.8,37.983333333333334,1269
93,#	SNOTEL 1146: Oak Creek	 UT,112.33333333333333,39.35,1146
94,#	SNOTEL 1148: Panguitch Lake RS	 UT,112.65,37.7,1148
95,#	SNOTEL 684: Parleys Summit	 UT,111.63333333333334,40.766666666666666,684
96,#	SNOTEL 971: Parrish Creek	 UT,111.81666666666666,40.93333333333333,971
97,#	SNOTEL 686: Payson R.S.	 UT,111.63333333333334,39.93333333333333,686
98,#	SNOTEL 691: Pickle Keg	 UT,111.58333333333333,39.016666666666666,691
99,#	SNOTEL 694: Pine Creek	 UT,112.25,38.88333333333333,694
100,#	SNOTEL 714: Red Pine Ridge	 UT,111.26666666666667,39.45,714
101,#	SNOTEL 1225: Redden Mine Lwr	 UT,111.21666666666667,40.68333333333333,1225
102,#	SNOTEL 1217: Rees Flat	 UT,111.73333333333333,39.5,1217
103,#	SNOTEL 720: Rock Creek	 UT,110.7,40.55,720
104,#	SNOTEL 723: Rocky Basin-Settleme	 UT,112.21666666666667,40.45,723
105,#	SNOTEL 1280: Santaquin Meadows	 UT,111.71666666666667,39.916666666666664,1280
106,#	SNOTEL 742: Seeley Creek	 UT,111.43333333333334,39.31666666666667,742
107,#	SNOTEL 763: Smith  Morehouse	 UT,111.1,40.78333333333333,763
108,#	SNOTEL 766: Snowbird	 UT,111.65,40.56666666666667,766
109,#	SNOTEL 1117: Spirit Lk	 UT,110.0,40.833333333333336,1117
110,#	SNOTEL 790: Steel Creek Park	 UT,110.5,40.916666666666664,790
111,#	SNOTEL 795: Strawberry Divide	 UT,111.2,40.166666666666664,795
112,#	SNOTEL 1249: Sunflower Flat	 UT,111.33333333333333,38.05,1249
113,#	SNOTEL 1248: Suu Ranch	 UT,112.93333333333334,37.6,1248
114,#	SNOTEL 1247: Takka Wiiya	 UT,113.98333333333333,39.733333333333334,1247
115,#	SNOTEL 1013: Temple Fork	 UT,111.55,41.8,1013
116,#	SNOTEL 814: Thaynes Canyon	 UT,111.53333333333333,40.61666666666667,814
117,#	SNOTEL 1226: Thistle Flat	 UT,111.51666666666667,39.233333333333334,1226
118,#	SNOTEL 1097: Timberline	 UT,110.43333333333334,39.68333333333333,1097
119,#	SNOTEL 820: Timpanogos Divide	 UT,111.61666666666666,40.43333333333333,820
120,#	SNOTEL 823: Tony Grove Lake	 UT,111.63333333333334,41.9,823
121,#	SNOTEL 1113: Tony Grove RS	 UT,111.56666666666666,41.88333333333333,1113
122,#	SNOTEL 828: Trial Lake	 UT,110.95,40.68333333333333,828
123,#	SNOTEL 833: Trout Creek	 UT,109.66666666666667,40.733333333333334,833
124,#	SNOTEL 1227: Upper Joes Valley	 UT,111.25,39.416666666666664,1227
125,#	SNOTEL 1098: Usu Doc Daniel	 UT,111.5,41.86666666666667,1098
126,#	SNOTEL 844: Vernon Creek	 UT,112.41666666666667,39.93333333333333,844
127,#	SNOTEL 853: Webster Flat	 UT,112.9,37.583333333333336,853
128,#	SNOTEL 864: White River #1	 UT,110.98333333333333,39.96666666666667,864
129,#	SNOTEL 865: Widtsoe #3	 UT,111.88333333333334,37.833333333333336,865
130,#	SNOTEL 1228: Wrigley Creek	 UT,111.35,39.13333333333333,1228
131,#	SNOTEL 1197: Yankee Reservoir	 UT,112.76666666666667,37.75,1197
